id,title,original_title,release_date,runtime,budget,revenue,vote_average,vote_count,popularity,original_language,status,genres,production_companies,production_countries,belongs_to_collection,collection_name,director,composer,cast_top5,cast_top5_popularity,overview,tagline,roi,is_success,release_year,release_month,release_day_of_week,release_decade,release_season,main_genre,nb_genres,cast_avg_popularity,lead_actor_popularity,nb_production_companies,is_international,is_franchise,director_nb_movies_prior,director_avg_vote_prior,director_avg_roi_prior,genre_drama,genre_action,genre_comedy,genre_thriller,genre_adventure,genre_crime,genre_science_fiction,genre_fantasy,genre_horror,genre_family,genre_romance,genre_animation,inflation_factor,budget_2024,revenue_2024,franchise_position
150,48 Hrs.,48 Hrs.,1982-12-07,96,12000000,78868508,6.7,1699,4.4431,en,Released,"['Crime', 'Action', 'Comedy']","['Paramount Pictures', 'Lawrence Gordon Productions', 'Silver Pictures']",['US'],True,48 Hrs. Collection,Walter Hill,James Horner,"['Nick Nolte', 'Eddie Murphy', ""Annette O'Toole"", 'Frank McRae', 'James Remar']","[2.0634, 4.2145, 5.846, 0.913, 2.6187]","A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer.",One cop. One con. No mercy.,5.572375666666667,1,1982,12,1,1980,Hiver,Crime,3,3.13112,2.0634,3,0,1,0,6.80411559139785,1.8808109733333331,0,1,1,0,0,1,0,0,0,0,0,0,3.29,39480000.0,259477391.32,1.0
8224,8MM,8MM,1999-02-26,123,40000000,96618699,6.482,2256,5.4138,en,Released,"['Thriller', 'Crime', 'Mystery']","['Global Medien KG', 'Hofflund/Polone', 'Columbia Pictures']","['DE', 'US']",True,8MM Collection,Joel Schumacher,Mychael Danna,"['Nicolas Cage', 'Joaquin Phoenix', 'James Gandolfini', 'Peter Stormare', 'Anthony Heald']","[6.7171, 3.5858, 2.3859, 2.8426, 0.7425]","A small, seemingly innocuous plastic reel of film leads surveillance specialist Tom Welles down an increasingly dark and frightening path. With the help of the streetwise Max, he relentlessly follows a bizarre trail of evidence to determine the fate of a complete stranger. As his work turns into obsession, he drifts farther and farther away from his wife, family and simple life as a small-town PI.",You can't prepare for where the truth will take you.,1.415467475,1,1999,2,4,1990,Hiver,Thriller,3,3.25478,6.7171,3,1,1,7,6.415857142857143,1.7833250903741291,0,0,0,1,0,1,0,0,0,0,0,0,1.91,76400000.0,184541715.09,1.0
10068,Nine 1/2 Weeks,Nine 1/2 Weeks,1986-02-09,117,17000000,6740470,6.11,1122,4.3783,en,Released,"['Drama', 'Romance']","['Jonesfilm', 'Galactic Films', 'Triple Ajaxxx', 'PSO']",['US'],True,9½ Weeks Collection,Adrian Lyne,Jack Nitzsche,"['Mickey Rourke', 'Kim Basinger', 'Margaret Whitton', 'David Margulies', 'Christine Baranski']","[2.5005, 2.3815, 0.6472, 0.4139, 2.6226]","An erotic story about a woman, the assistant of an art gallery, who gets involved in an impersonal affair with a man. She barely knows about his life, only about the sex games they play, so the relationship begins to get complicated.",They Broke Every Rule.,-0.6035017647058823,0,1986,2,6,1980,Hiver,Drama,2,1.71314,2.5005,4,0,1,1,6.5,27.78874328571429,1,0,0,0,0,0,0,0,0,0,1,0,2.9,49300000.0,19547363.0,1.0
381289,A Dog's Purpose,A Dog's Purpose,2017-01-19,100,22000000,205000000,7.637,3515,4.7925,en,Released,"['Adventure', 'Comedy', 'Fantasy', 'Family', 'Drama']","['Amblin Entertainment', 'Walden Media', 'Reliance Entertainment', 'Pariah']","['IN', 'US']",True,A Dog's Purpose Collection,Lasse Hallström,Rachel Portman,"['Josh Gad', 'KJ Apa', 'Britt Robertson', 'Dennis Quaid', 'Peggy Lipton']","[1.868, 2.0276, 4.3156, 4.0329, 1.1888]",A dog goes on quest to discover his purpose in life over the course of several lifetimes with multiple owners.,Every dog happens for a reason.,8.318181818181818,1,2017,1,3,2010,Hiver,Adventure,5,2.68658,1.868,4,1,1,5,7.391,2.423066046961039,1,0,1,0,1,0,0,1,0,1,0,0,1.29,28380000.0,264450000.0,1.0
522518,A Dog's Journey,A Dog's Journey,2019-05-03,109,16000000,78871079,8.055,1614,4.7386,en,Released,"['Family', 'Adventure', 'Drama']","['Amblin Entertainment', 'Reliance Entertainment', 'Walden Media', 'Alibaba Pictures Group', 'Pariah']","['CN', 'IN', 'US']",True,A Dog's Purpose Collection,Gail Mancuso,Mark Isham,"['Marg Helgenberger', 'Betty Gilpin', 'Henry Lau', 'Kathryn Prescott', 'Dennis Quaid']","[1.3431, 3.2125, 1.2354, 0.6788, 4.0329]",A dog finds the meaning of his own existence through the lives of the humans he meets.,Some friendships transcend lifetimes.,3.9294424375,1,2019,5,4,2010,Printemps,Family,3,2.10054,1.3431,5,1,1,0,6.80411559139785,1.8808109733333331,1,0,0,0,1,0,0,0,0,1,0,0,1.24,19840000.0,97800137.96,2.0
139038,A Haunted House,A Haunted House,2013-01-11,86,2500000,60141683,5.946,2040,5.9778,en,Released,"['Comedy', 'Horror']","['Open Road Films', 'Endgame Entertainment', 'Wayans Bros. Entertainment', 'IM Global']",['US'],True,A Haunted House Collection,Michael Tiddes,,"['Marlon Wayans', 'Essence Atkins', 'Nick Swardson', 'Cedric the Entertainer', 'David Koechner']","[3.1705, 0.7232, 1.3829, 2.5282, 1.5268]","Malcolm and Kisha move into their dream home, but soon learn a demon also resides there. When Kisha becomes possessed, Malcolm - determined to keep his sex life on track - turns to a priest, a psychic, and a team of ghost-busters for help in this spoof of all the ""found-footage/documentary style"" films released in recent years.",This $*%! ain't paranormal.,23.0566732,1,2013,1,4,2010,Hiver,Comedy,2,1.86632,3.1705,4,0,1,0,6.80411559139785,1.8808109733333331,0,0,1,0,0,0,0,0,1,0,0,0,1.36,3400000.0000000005,81792688.88000001,1.0
184345,A Haunted House 2,A Haunted House 2,2014-04-17,87,4000000,25343661,6.174,1581,7.2739,en,Released,"['Comedy', 'Horror']","['Automatik Entertainment', 'IM Global Octane', 'Wayans Bros. Entertainment', 'Endgame Entertainment']",['US'],True,A Haunted House Collection,Michael Tiddes,Jesse Voccia,"['Marlon Wayans', 'Jaime Pressly', 'Essence Atkins', 'Gabriel Iglesias', 'Missi Pyle']","[3.1705, 11.1182, 0.8758, 1.4291, 1.8334]","After exorcising the demons of his ex, Malcolm starts afresh with his new girlfriend and her two children. After moving into their dream home, Malcolm is once again plagued by bizarre paranormal events.",It'll scare the #2 out of you.,5.33591525,1,2014,4,3,2010,Printemps,Comedy,2,3.6854,3.1705,4,0,1,1,5.946,23.0566732,0,0,1,0,0,0,0,0,1,0,0,0,1.34,5360000.0,33960505.74,2.0
377,A Nightmare on Elm Street,A Nightmare on Elm Street,1984-11-09,91,1800000,57004513,7.344,5699,9.9019,en,Released,['Horror'],"['New Line Cinema', 'Smart Egg Pictures', 'Media Home Entertainment', 'Cinema 84', 'The Elm Street Venture']","['US', 'GB']",True,A Nightmare on Elm Street Collection,Wes Craven,Charles Bernstein,"['John Saxon', 'Ronee Blakley', 'Heather Langenkamp', 'Amanda Wyss', 'Jsu Garcia']","[2.0215, 0.4156, 1.2346, 0.978, 0.9291]","Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...","If Nancy doesn't wake up screaming, she won't wake up at all.",30.66917388888889,1,1984,11,4,1980,Automne,Horror,1,1.11576,2.0215,5,1,1,0,6.80411559139785,1.8808109733333331,0,0,0,0,0,0,0,0,1,0,0,0,3.06,5508000.0,174433809.78,1.0
10014,A Nightmare on Elm Street Part 2: Freddy's Revenge,A Nightmare on Elm Street Part 2: Freddy's Revenge,1985-11-01,87,3000000,30000121,5.778,2091,3.5131,en,Released,['Horror'],"['New Line Cinema', 'Smart Egg Pictures', 'Heron Communications', 'Media Home Entertainment']","['GB', 'US']",True,A Nightmare on Elm Street Collection,Jack Sholder,Christopher Young,"['Robert Englund', 'Mark Patton', 'Kim Myers', 'Robert Rusler', 'Clu Gulager']","[1.7478, 0.2722, 0.9096, 0.4911, 1.1883]","A teenage boy is haunted in his dreams by deceased child murderer Freddy Krueger, who is out to possess him in order to continue his reign of terror in the real world.",The man of your dreams is back.,9.000040333333333,1,1985,11,4,1980,Automne,Horror,1,0.9218,1.7478,4,1,1,0,6.80411559139785,1.8808109733333331,0,0,0,0,0,0,0,0,1,0,0,0,2.95,8850000.0,88500356.95,2.0
447332,A Quiet Place,A Quiet Place,2018-04-03,91,17000000,340955294,7.391,15288,10.8715,en,Released,"['Horror', 'Drama', 'Science Fiction']","['Paramount Pictures', 'Platinum Dunes', 'Sunday Night Productions']",['US'],True,A Quiet Place Collection,John Krasinski,Marco Beltrami,"['Emily Blunt', 'John Krasinski', 'Millicent Simmonds', 'Noah Jupe', 'Cade Woodward']","[12.9007, 6.8816, 0.8612, 2.2342, 0.3822]",A family is forced to live in silence while hiding from creatures that hunt by sound.,"If they hear you, they hunt you.",19.05619376470588,1,2018,4,1,2010,Printemps,Horror,3,4.65198,12.9007,3,0,1,0,6.80411559139785,1.8808109733333331,1,0,0,0,0,0,1,0,1,0,0,0,1.26,21420000.0,429603670.44,1.0
520763,A Quiet Place Part II,A Quiet Place Part II,2021-05-21,96,55000000,297372261,7.433,7343,8.8297,en,Released,"['Science Fiction', 'Thriller', 'Horror']","['Paramount Pictures', 'Platinum Dunes', 'Sunday Night Productions']",['US'],True,A Quiet Place Collection,John Krasinski,Marco Beltrami,"['Emily Blunt', 'John Krasinski', 'Millicent Simmonds', 'Noah Jupe', 'Cillian Murphy']","[12.9007, 6.8816, 0.8612, 2.2342, 6.14]","Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path.",Silence is not enough.,4.406768381818182,1,2021,5,4,2020,Printemps,Science Fiction,3,5.80354,12.9007,3,0,1,1,7.391,19.05619376470588,0,0,0,1,0,0,1,0,1,0,0,0,1.17,64349999.99999999,347925545.37,2.0
484247,A Simple Favor,A Simple Favor,2018-09-13,117,20000000,97644617,6.64,4570,4.2244,en,Released,"['Thriller', 'Comedy', 'Mystery']","['Feigco Entertainment', 'Bron Studios']","['CA', 'US']",True,A Simple Favor Collection,Paul Feig,Theodore Shapiro,"['Anna Kendrick', 'Blake Lively', 'Henry Golding', 'Rupert Friend', 'Linda Cardellini']","[3.7585, 6.1399, 2.0768, 3.845, 4.9118]","Stephanie, a dedicated mother and popular vlogger, befriends Emily, a mysterious upper-class woman whose son Nicky attends the same school as Miles, Stephanie's son. When Emily asks her to pick Nicky up from school and then disappears, Stephanie undertakes an investigation that will dive deep into Emily's cloudy past.",Can you keep a secret?,3.88223085,1,2018,9,3,2010,Automne,Thriller,3,4.1464,3.7585,2,1,1,4,6.3115,3.859375671520945,0,0,1,1,0,0,0,0,0,0,0,0,1.26,25200000.0,123032217.42,1.0
395,AVP: Alien vs. Predator,AVP: Alien vs. Predator,2004-08-12,101,70000000,177427090,5.947,4929,4.7701,en,Released,"['Adventure', 'Science Fiction', 'Action', 'Horror']","['Studio Babelsberg', 'Davis Entertainment', 'Stillking Films', 'Lonlink Productions', 'Kut Productions', 'Inside Track 2', '20th Century Fox', 'Brandywine Productions']","['CZ', 'DE', 'GB', 'US']",True,AVP Collection,Paul W. S. Anderson,Harald Kloser,"['Sanaa Lathan', 'Lance Henriksen', 'Ian Whyte', 'Raoul Bova', 'Ewen Bremner']","[1.847, 3.2245, 0.5289, 0.8099, 1.0085]","When scientists discover something near Antarctica that appears to be a buried Pyramid, they send a research team out to investigate. Little do they know that they are about to step into a hunting ground where Aliens are grown as sport for the Predator race.",Whoever wins...we lose.,1.5346727142857144,1,2004,8,3,2000,Été,Adventure,4,1.48376,1.847,8,1,1,4,6.385,1.637251324040404,0,1,0,0,1,0,1,0,1,0,0,0,1.68,117600000.0,298077511.2,1.0
440,Aliens vs Predator: Requiem,Aliens vs Predator: Requiem,2007-12-25,94,40000000,130290885,5.18,3300,7.1003,en,Released,"['Action', 'Science Fiction', 'Thriller', 'Horror']","['Dune Entertainment', 'Davis Entertainment', '20th Century Fox', 'Brandywine Productions']",['US'],True,AVP Collection,Colin Strause,Brian Tyler,"['David Paetkau', 'Sam Trammell', 'Steven Pasquale', 'Reiko Aylesworth', 'John Ortiz']","[0.5213, 1.4053, 0.579, 1.7964, 1.254]","After a horrifying PredAlien crash-lands near a small Colorado town, killing everyone it encounters and producing countless Alien offspring, a lone Predator arrives to ""clean up"" the infestation.",On Earth everyone can hear you scream.,2.257272125,1,2007,12,1,2000,Hiver,Action,4,1.1112,0.5213,4,0,1,0,6.80411559139785,1.8808109733333331,0,1,0,1,0,0,1,0,1,0,0,0,1.54,61600000.0,200647962.9,2.0
3049,Ace Ventura: Pet Detective,Ace Ventura: Pet Detective,1994-02-04,86,15000000,107217396,6.579,6360,6.6704,en,Released,"['Comedy', 'Mystery', 'Crime']",['Morgan Creek Entertainment'],['US'],True,Ace Ventura Collection,Tom Shadyac,Ira Newborn,"['Jim Carrey', 'Courteney Cox', 'Sean Young', 'Tone Loc', 'Dan Marino']","[8.3538, 4.0694, 1.9623, 0.5727, 0.3704]","He's Ace Ventura: Pet Detective. The Ace is on the case to find the Miami Dolphins' missing mascot and quarterback Dan Marino. He goes eyeball to eyeball with a man-eating shark, stakes out the Miami Dolphins and woos and wows the ladies. Whether he's undercover, under fire or underwater, he always gets his man… or beast!","He's the best there is! (Actually, he's the only one there is.)",6.1478264,1,1994,2,4,1990,Hiver,Comedy,3,3.06572,8.3538,1,0,1,0,6.80411559139785,1.8808109733333331,0,0,1,0,0,1,0,0,0,0,0,0,2.14,32100000.000000004,229445227.44000003,1.0
9273,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls,1995-11-10,90,30000000,212385533,6.33,4536,4.2791,en,Released,"['Crime', 'Comedy', 'Adventure']",['Morgan Creek Entertainment'],['US'],True,Ace Ventura Collection,Steve Oedekerk,Robert Folk,"['Jim Carrey', 'Ian McNeice', 'Simon Callow', 'Maynard Eziashi', 'Bob Gunton']","[8.3538, 1.2079, 1.1759, 0.2922, 2.2405]","Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",New animals. New adventures. Same hair.,6.079517766666667,1,1995,11,4,1990,Automne,Crime,3,2.65406,8.3538,1,0,1,0,6.80411559139785,1.8808109733333331,0,0,1,0,1,1,0,0,0,0,0,0,2.08,62400000.0,441761908.64,2.0
2907,The Addams Family,The Addams Family,1991-11-22,100,30000000,191502426,7.066,5024,6.7056,en,Released,"['Comedy', 'Fantasy']","['Paramount Pictures', 'Orion Pictures', 'Scott Rudin Productions']",['US'],True,Addams Family Collection,Barry Sonnenfeld,Marc Shaiman,"['Raúl Juliá', 'Anjelica Huston', 'Christopher Lloyd', 'Dan Hedaya', 'Elizabeth Wilson']","[1.0135, 2.0467, 2.4323, 1.3491, 0.7121]","When a man claiming to be long-lost Uncle Fester reappears after 25 years lost, the family plans a celebration to wake the dead. But the kids barely have time to warm up the electric chair before Morticia begins to suspect Fester is fraud when he can't recall any of the details of Fester's life.",Weird is relative.,5.3834142,1,1991,11,4,1990,Automne,Comedy,2,1.51074,1.0135,3,0,1,0,6.80411559139785,1.8808109733333331,0,0,1,0,0,0,0,1,0,0,0,0,2.33,69900000.0,446200652.58000004,1.0
2758,Addams Family Values,Addams Family Values,1993-11-19,94,47000000,48919043,6.971,3290,4.1149,en,Released,"['Comedy', 'Family', 'Fantasy']","['Scott Rudin Productions', 'Paramount Pictures']",['US'],True,Addams Family Collection,Barry Sonnenfeld,Marc Shaiman,"['Anjelica Huston', 'Raúl Juliá', 'Christopher Lloyd', 'Joan Cusack', 'Christina Ricci']","[2.0467, 1.0135, 2.4323, 2.1029, 4.2796]","Siblings Wednesday and Pugsley Addams will stop at nothing to get rid of Pubert, the new baby boy adored by parents Gomez and Morticia. Things go from bad to worse when the new ""black widow"" nanny, Debbie Jellinsky, launches her plan to add Fester to her collection of dead husbands.",The family just got a little stranger.,0.0408307021276595,0,1993,11,4,1990,Automne,Comedy,3,2.375,2.0467,2,0,1,1,7.066,5.3834142,0,0,1,0,0,0,0,1,0,1,0,0,2.2,103400000.00000001,107621894.60000001,2.0
282631,The Admiral: Roaring Currents,명량,2014-07-30,126,9500000,138342258,7.036,320,3.7149,ko,Released,"['War', 'Action', 'Drama', 'History']",['Big Stone Pictures'],['KR'],True,Admiral Yi Trilogy,Kim Han-min,Kim Tae-seong,"['Choi Min-sik', 'Ryu Seung-ryong', 'Cho Jin-woong', 'Jin Goo', 'Lee Jung-hyun']","[1.7644, 1.8361, 1.2955, 1.4598, 0.9596]",Admiral Yi Sun-sin faces a tough challenge when he is forced to defend his nation with just 13 battleships against 300 Japanese enemy ships in the Battle of Myeongryang.,12 ships against a fleet of 330.,13.56234294736842,1,2014,7,2,2010,Été,War,4,1.4630800000000002,1.7644,1,0,1,1,7.204,5.125,1,1,0,0,0,0,0,0,0,0,0,0,1.34,12730000.0,185378625.72,1.0
